implementation,vertices,edges,time(ns),comparisons
a,236,243,87600,238
b,236,243,16200,238
a,237,576,97200,333
b,237,576,46700,334
a,238,294,90300,255
b,238,294,21000,256
a,239,288,93000,253
b,239,288,20100,253
a,240,545,95000,333
b,240,545,33700,333
a,241,358,93500,278
b,241,358,24500,280
a,242,459,96900,311
b,242,459,29700,312
a,243,712,104800,369
b,243,712,38300,369
a,244,560,101700,341
b,244,560,33900,340
a,245,427,98100,311
b,245,427,28900,312
a,246,520,101100,323
b,246,520,31400,321
a,247,683,105800,380
b,247,683,39300,380
a,248,468,100000,319
b,248,468,30400,319
a,249,426,100800,298
b,249,426,27600,299
a,250,725,109600,383
b,250,725,40100,385
a,251,573,105900,351
b,251,573,35400,351
a,252,563,105400,338
b,252,563,33400,340
a,253,276,100500,257
b,253,276,19700,258
a,254,473,106200,317
b,254,473,29600,317
a,255,745,111100,393
b,255,745,40800,395
a,256,294,102800,264
b,256,294,21100,264
a,257,423,106500,320
b,257,423,29200,317
a,258,432,108500,313
b,258,432,29000,314
a,259,374,105500,298
b,259,374,30500,298
a,260,555,110500,351
b,260,555,35700,350
a,261,763,125200,384
b,261,763,40800,387
a,262,399,106800,311
b,262,399,27900,312
a,263,288,106600,275
b,263,288,21900,274
a,264,651,116000,389
b,264,651,39800,386
a,265,489,113300,326
b,265,489,32800,327
a,266,586,114800,373
b,266,586,36700,372
a,267,519,115600,363
b,267,519,35200,362
a,268,570,119100,360
b,268,570,37100,361
a,269,717,131500,398
b,269,717,42600,396
a,270,754,121500,408
b,270,754,42700,409
a,271,599,118800,364
b,271,599,36300,364
a,272,674,122600,386
b,272,674,39900,387
a,273,793,126900,421
b,273,793,44500,421
a,274,578,122400,355
b,274,578,35700,357
a,275,675,124000,394
b,275,675,54600,395
a,276,421,118700,328
b,276,421,31900,328
a,277,380,117300,314
b,277,380,27300,315
a,278,692,127200,387
b,278,692,41200,387
a,279,433,122000,329
b,279,433,30300,329
a,280,614,136800,378
b,280,614,38900,377
a,281,330,117000,291
b,281,330,23900,291
a,282,835,133100,434
b,282,835,46500,435
a,283,400,121500,318
b,283,400,43800,317
a,284,764,134600,426
b,284,764,44600,426
a,285,788,136700,447
b,285,788,47200,449
a,286,308,123600,296
b,286,308,22900,296
a,287,397,126100,322
b,287,397,35800,321
a,288,330,123700,299
b,288,330,24100,299
